TimeStamp,ECG Data,GSR Data
130640,629,6
130647,585,6
130653,529,6
130660,526,6
130666,541,6
130673,475,6
130619,643,6
130626,602,6
130633,663,6
130640,629,6
130647,585,6
130653,529,6
130660,526,6
130666,541,6
130673,475,6
130619,643,6
130626,602,6
130633,663,6
130640,629,6
130647,585,6
130653,529,6
130660,526,6
130666,541,6
130673,475,6
0,479,5
6,495,5
13,506,5
20,508,5
26,514,5
33,504,5
40,504,5
46,501,5
53,486,5
60,491,5
66,496,5
73,488,5
80,485,5
87,481,5
93,502,5
99,514,5
106,515,5
113,503,5
120,494,5
126,501,5
133,512,5
140,504,5
146,506,5
153,493,5
160,490,5
166,496,5
174,502,5
180,487,5
185,487,5
193,498,5
200,494,5
206,495,5
214,508,5
220,504,5
226,510,5
233,517,5
240,504,5
246,505,5
253,502,5
260,499,5
266,508,5
272,510,5
280,507,5
286,511,5
293,517,5
301,484,5
306,488,5
313,499,5
320,477,5
326,454,5
333,429,5
340,365,5
346,355,5
353,423,5
359,484,5
366,515,5
372,517,5
380,527,5
387,549,5
393,551,5
400,549,5
406,549,5
413,545,5
420,527,5
427,545,5
433,522,5
440,526,5
446,524,5
453,520,5
459,504,5
466,505,5
474,528,5
480,529,5
486,529,5
493,518,5
500,503,5
506,507,5
514,513,5
520,517,5
526,504,5
533,484,5
540,490,5
545,503,5
553,503,5
560,497,5
566,492,5
573,485,5
580,480,5
586,479,5
593,482,5
601,472,5
606,464,5
613,464,5
620,476,5
626,483,5
633,491,5
641,507,5
646,518,5
653,536,5
660,521,5
666,522,5
673,537,5
680,521,5
687,526,5
693,541,5
700,553,5
706,535,5
713,523,5
719,536,5
727,539,5
733,526,5
740,528,5
746,534,5
753,543,5
760,524,5
766,523,5
773,512,5
780,500,5
786,487,5
793,511,5
800,497,5
806,513,5
814,514,5
819,488,5
826,503,5
833,516,5
840,509,5
846,514,5
854,515,5
860,498,5
866,500,5
873,524,5
880,493,5
886,491,5
893,494,5
901,504,5
906,514,5
913,506,5
919,497,5
926,502,5
933,498,5
941,510,5
946,522,5
953,520,5
960,505,5
966,506,5
973,501,5
980,510,5
986,508,5
993,507,5
1000,496,5
1006,517,5
1013,509,5
1019,490,5
1027,484,5
1033,499,5
1040,496,5
1046,509,5
1053,510,5
1060,513,5
1067,519,5
1073,529,5
1080,516,5
1086,509,5
1093,529,5
1100,514,5
1106,509,5
1114,514,5
1119,535,5
1126,526,5
1133,503,5
1140,514,5
1146,517,5
1154,513,5
1160,512,5
1166,511,5
1173,493,5
1180,450,5
1186,407,5
1193,394,5
1200,417,5
1206,459,5
1213,524,5
1219,557,5
1226,544,5
1233,528,5
1241,532,5
1246,537,5
1253,537,5
1260,534,5
1266,534,5
1273,532,5
1281,528,5
1286,526,5
1293,517,5
1300,506,5
1305,518,5
1313,521,5
1320,515,5
1326,521,5
1333,492,5
1340,502,5
1346,499,5
1353,501,5
1360,495,5
1367,500,5
1373,501,5
1380,496,5
1386,489,5
1392,486,5
1400,483,5
1406,495,5
1413,482,5
1420,495,5
1426,487,5
1433,480,5
