TimeStamp,ECG Data,GSR Data
3206,472,639
3213,474,639
3220,479,639
3226,482,638
3233,483,638
3240,488,637
3247,490,637
3253,489,636
3260,493,635
3266,500,634
3273,503,633
3280,504,632
3287,504,632
3293,507,631
3300,507,630
3306,502,630
3312,500,629
3320,503,629
3326,512,628
3333,515,627
3340,509,627
3346,504,626
3353,507,625
3360,507,625
3366,508,624
3374,509,624
3380,511,623
3386,510,623
3393,510,622
3400,510,622
3406,509,622
3414,507,621
3420,508,621
3426,509,621
3433,508,620
3440,509,620
3446,510,620
3453,510,619
3461,509,619
3465,508,619
3473,509,618
3480,510,618
3486,510,618
3493,510,618
3501,510,617
3506,509,617
3513,509,617
3520,510,616
3526,509,616
3533,509,616
3540,510,616
3546,509,615
3553,511,615
3560,514,615
3566,515,614
3573,518,614
3580,515,614
3587,515,614
3593,520,613
3600,527,613
3606,528,612
3613,522,612
3620,515,611
3627,509,611
3633,504,610
3640,500,610
3645,500,610
3653,501,609
3660,501,609
3666,499,608
3673,498,608
3680,498,608
3686,499,607
3693,499,607
3700,501,607
3706,503,606
3714,496,606
3720,477,606
3726,465,605
3733,485,605
3740,572,605
3746,662,604
3753,748,604
3760,784,604
3766,699,603
3773,535,603
3780,445,602
3786,415,602
3793,433,601
3801,460,601
3806,466,601
3813,471,600
3820,476,599
3826,479,599
3833,482,598
3841,485,598
3846,487,597
3852,491,597
3860,495,596
3866,498,596
3873,500,595
3879,502,595
3887,503,595
3893,504,594
3900,506,593
3906,507,593
3913,510,593
3920,515,592
3927,519,592
3933,522,592
3940,526,591
3946,530,591
3953,533,590
3960,536,590
3966,537,590
3973,538,590
3980,538,589
3986,538,589
3993,536,589
4000,530,588
4006,523,588
4014,517,588
4020,508,588
4026,497,588
4032,490,587
4040,485,587
4046,483,587
4054,483,587
4059,483,587
4066,482,587
4073,481,586
4080,483,586
4085,486,586
4093,488,586
4101,490,586
4106,490,586
4113,491,586
4120,493,586
4126,495,586
4133,498,586
4141,499,585
4146,499,585
4153,502,585
4160,505,585
4166,506,585
4173,508,585
4180,505,585
4186,505,585
4193,506,585
4200,504,585
4206,504,586
4212,507,586
4220,508,586
4227,509,586
4233,508,586
4239,508,586
4246,508,586
4253,508,587
4260,507,587
4267,506,587
4273,506,587
4280,506,588
4286,507,588
4293,506,588
4300,504,589
4306,506,589
4314,508,590
4320,508,590
4326,508,590
4333,508,591
4340,510,591
4346,510,591
4354,507,592
4360,506,592
4366,506,592
4373,509,592
4380,516,593
4386,518,593
4392,517,593
4400,518,594
4406,524,594
4413,530,595
4419,527,595
4426,519,595
4433,515,595
4441,505,596
4446,499,596
4453,497,596
4460,501,597
4466,500,597
4473,499,597
4481,499,598
4486,500,598
4493,499,598
4500,497,599
4506,500,599
4513,504,600
4520,500,600
4526,493,600
4533,474,601
4540,468,601
4546,499,602
4553,582,602
4560,683,602
4567,760,603
4573,768,603
4580,657,604
4586,520,604
4593,428,604
4599,413,605
4606,438,605
4613,460,605
4620,466,606
4626,471,606
4633,478,607
4640,480,607
4646,482,608
4654,487,609
4660,489,609
4666,489,610
4673,490,610
4680,493,611
4686,496,612
4694,500,612
4700,503,613
4706,504,614
4713,506,615
4720,510,615
4726,513,616
4733,516,617
4741,522,618
4746,523,618
4753,522,619
4760,525,619
4766,530,620
4773,534,621
4781,536,621
4786,538,622
4793,538,623
4800,540,623
4805,538,624
4813,530,624
4820,521,625
4826,514,626
4833,505,626
4840,497,627
4846,491,628
4853,484,629
4860,480,629
4867,480,630
4873,481,631
4880,482,631
4886,481,631
4893,480,632
4900,483,632
4907,485,632
4913,486,632
4920,490,632
4926,493,631
4933,494,631
4940,497,630
4946,501,630
4954,497,629
4960,496,629
4966,496,628
4973,499,628
4980,504,627
4986,504,627
4994,502,626
5000,503,626
5006,507,625
5012,507,625
5020,506,624
5026,507,623
5033,505,623
5039,503,622
5046,504,622
5053,507,621
5060,505,621
5066,503,620
5073,504,620
5081,504,619
5086,505,619
5093,506,619
5100,506,618
5106,508,617
5113,507,617
5121,507,616
5126,508,615
5133,511,614
5140,516,614
5146,516,613
5153,516,611
5160,521,610
5167,527,609
5173,530,608
5180,526,607
5186,520,605
5192,513,604
5200,505,602
5207,501,601
5213,500,599
5219,501,598
5226,499,597
5233,499,595
5240,499,594
5246,501,593
5253,502,592
5260,503,591
5266,503,590
5273,504,589
5280,504,588
5286,493,587
5294,470,586
5300,464,585
5306,494,584
5313,586,584
5320,682,583
5326,749,582
5334,760,581
5340,643,581
5346,512,580
5353,434,579
5360,416,579
5366,438,578
5372,461,577
5381,470,577
5386,474,576
5393,478,576
5399,481,575
5406,488,575
5413,491,574
5421,486,574
5426,486,573
5433,490,573
5440,495,572
5446,497,572
5453,499,572
5460,502,571
5466,504,571
5473,508,571
5480,511,570
5486,512,570
5493,516,570
5500,520,569
5507,524,569
5513,527,569
5520,531,568
5526,533,568
5533,536,568
5540,538,568
5547,539,568
5552,539,567
5560,536,567
5566,531,567
5573,524,567
5579,518,567
5586,511,566
5594,502,566
5600,495,566
5606,490,566
5613,484,565
5620,482,565
5626,480,565
5634,479,565
5640,480,565
5646,481,565
5653,484,564
5660,485,564
5666,487,564
5673,488,564
5680,483,564
5686,483,563
5693,490,563
5700,494,563
5706,497,563
5713,498,563
5721,499,562
5726,501,562
5733,503,562
5740,505,562
5746,506,562
5753,505,562
5760,506,562
5766,506,561
5773,501,561
5780,500,561
5785,502,561
5793,504,561
5800,502,561
